Wavelength (A),Flux(photon.s-1.binwvl)
7.166118471984178,9.797200108554883e-18
7.475109089171057,1.1493463719798964e-17
10.2751295539091,1.3222066776051002e-17
10.609162547913742,5.687153590825073e-16
40.41484178199399,5.65023208343908e-16
40.47176121959069,8.210861933545769e-14
50.0410506488803,8.210861933545769e-14
50.67793483865843,2.533593257815089e-13
60.96146570608059,2.533593257815089e-13
60.98200880253009,5.145518701293774e-13
70.08379771683535,5.088530059482018e-13
70.42542420574601,6.437677005551987e-13
79.04723180758839,6.696034073909863e-13
81.09614253151503,1.169939885965473e-12
89.33221674850319,1.181865117188025e-12
91.63353039619464,1.3199212043788455e-12
99.67625322959148,1.2972155500524174e-12
100.81378300107306,1.0164430215565862e-12
110.09170087554074,9.565695204894893e-13
110.42242181325658,5.728411153345568e-13
119.84190989860532,5.470726010801491e-13
120.52483974898384,4.053517000711375e-13
128.61744538136443,3.95392625372227e-13
129.01565956369717,4.416500086451837e-12
153.55674454486828,4.554682260600008e-12
153.6468163195515,2.184137759387286e-11
175.19404476122904,2.1592728897799766e-11
176.60954491538774,1.022277214385291e-10
204.48199305006727,1.0430947574920113e-10
205.86542280552712,6.172839122089439e-11
231.02881085061955,5.941778729671092e-11
231.1957061748308,1.1074592033300954e-10
269.05840663165225,1.1426944644403792e-10
270.4266897882304,9.336019199889134e-11
278.9255473980836,9.42741822857935e-11
280.469813838202,1.8175915149869324e-10
299.6400360287099,1.8175915149869324e-10
300.52568795852125,8.042502818065777e-10
318.9346218937692,8.201415169794509e-10
319.1766847393641,1.9409238360666632e-10
338.91060275385365,1.8366948342809274e-10
339.5770531046489,9.094447587353798e-11
357.1563169395523,8.81185423141623e-11
359.4514103839697,5.282972838758308e-10
370.50414612900056,5.282972838758308e-10
369.9421467240936,3.005760662387077e-11
399.44449007123615,2.960194718861321e-11
399.988313557485,5.324599436021556e-11
429.31140195572885,5.556456916778676e-11
430.01194225174055,4.0060667190739906e-11
459.3962633003968,4.0586585025338286e-11
460.9932399046236,8.37776484012373e-11
479.1477513695892,8.679748567923145e-11
479.9108168257845,1.9550276093112298e-10
499.0254207051988,1.9945202812247973e-10
500.03058939791936,6.628956309047827e-11
504.26056302264186,6.628956309047827e-11
504.308963312918,9.64651639764944e-18
